"Tahun","Minggu","Negeri","Daerah/Zon/PBT","Lokaliti","Jumlah Kes Terkumpul","Tempoh Wabak Berlaku (Hari)","latitude","longitude"
2015,5,"Selangor","Petaling","Bl Pju 6A Rumah Pangsa Kayu Ara",14,48,3.113117,101.815673
2015,5,"Selangor","Petaling","Du Ss 2 ( 1 )",23,48,3.060047,101.584687
2015,5,"Selangor","Petaling","Bandar Kinrara 5 ( Jalan Bk 5/2- Bk 5/8 )",17,48,3.188612,101.604747
2015,5,"Selangor","Petaling","Bt 13 Kg Kenangan",7,48,3.13281,101.748025
2015,5,"Selangor","Petaling","Sri Kembangan 6",14,48,3.114994,101.811318
2015,5,"Perak","Kinta","Kg Tawas",20,47,3.058404,101.636764
2015,5,"Selangor","Gombak","Tmn Bidara Fasa 1",8,47,3.058405,101.636763
2015,5,"Selangor","Gombak","Tmn Ehsan",12,47,3.058406,101.636762
2015,5,"Selangor","Petaling","Pusat Bandar Puchong (Jln Wawasan 1)",12,47,3.058407,101.636765
2015,5,"Selangor","Petaling","Ss 18/3",6,47,3.058408,101.636767
2015,5,"Selangor","Petaling","Taman Sri Serdang 4 ( 18/47-18/58 )",29,47,3.058409,101.636769
2015,5,"Selangor","Petaling","Seksyen U20 ( Fasa 1B Bbsb : Jln 1B/1 - 1D/3 )",11,47,3.113117,101.815683
2015,5,"Selangor","Gombak","Bdr Country Homes Fasa 12",14,47,3.113118,101.815693
2015,5,"Selangor","Gombak","Kg Nakhoda",13,46,2.975147,101.783915
2015,5,"Selangor","Gombak","Bdr Tasik Puteri Fasa 6",14,46,3.113117,101.815673
2015,5,"Selangor","Gombak","Bdr Tasik Puteri Fasa 7",15,46,3.048069,101.639553
2015,5,"Selangor","Gombak","Tmn Bersatu",13,46,3.198303,101.599919
2015,5,"Selangor","Hulu Langat","Flat Sri Nilam Bandar Baru Ampang",41,46,3.052035,101.643996
2015,5,"Selangor","Petaling","Du Ss 21 ( 2 )",14,46,3.058406,101.636762
2015,5,"Selangor","Klang","Sek 31 (Pangsapuri Sri Kemuning)",8,45,3.058407,101.636765
2015,5,"Selangor","Petaling","Seksyen 26 ( Kilang Tiong Nam )",16,45,3.058408,101.636767
2015,5,"Selangor","Petaling","Bl Pju 6A Kg Sg Kayu Ara 5 ( Jln Teratai, Melur, Mawar,Melati )",17,45,3.058409,101.636769
2015,5,"Selangor","Petaling","Du Ss 2 ( 2 )",32,45,3.113117,101.815683
2015,5,"Selangor","Petaling","Taman Sri Puchong'",18,45,3.113118,101.815693
2015,5,"Selangor","Petaling","Seksyen U5 ( Pangsapuri Orkid : Blok 7 - 12 )",9,45,2.975147,101.783915
2015,5,"Perak","Kinta","Kg Sg Tapah",15,44,3.113117,101.815673
2015,5,"Perak","Kinta","Tmn Bertuah",15,44,3.048069,101.639553
2015,5,"Selangor","Gombak","Kg Baru Kundang",20,44,3.198303,101.599919
2015,5,"Selangor","Petaling","Seksyen 16 ( Pangsapuri Anggerik Indah )",12,44,3.052035,101.643996
2015,5,"Selangor","Petaling","Seksyen U3 (Pangsapuri Daisy A : Blok 1 - 2 )",9,44,3.058406,101.636762
